N,N log N,Time
[Measuring n=50000...]
50000,234949,0.048049
[Measuring n=100000...]
100000,500000,0.107199
[Measuring n=200000...]
200000,1.06021e+06,0.234678
[Measuring n=500000...]
500000,2.84949e+06,0.86469
[Measuring n=1000000...]
